mhz,phi,theta,gain_total,gain_horiz,gain_vert,gain_rhcp,gain_lhcp
30.000000,89.999999995450708,62.999999996815561,1.0412803605761247,-1998.9587196394239,1.0412803605761247,-1.9690195960636874,-1.9690195960636874
30.000000,89.999999995450708,63.999999996765013,1.1340182436101185,-1998.8659817563898,1.1340182436101185,-1.8762817130296936,-1.8762817130296936
30.000000,89.999999995450708,64.999999996714465,1.2225991271566381,-1998.7774008728434,1.2225991271566381,-1.787700829483174,-1.787700829483174
30.000000,89.999999995450708,65.999999996663917,1.3070489239838845,-1998.692951076016,1.3070489239838845,-1.7032510326559276,-1.7032510326559276
30.000000,89.999999995450708,66.999999996613354,1.3873913378166023,-1998.6126086621834,1.3873913378166023,-1.6229086188232098,-1.6229086188232098
30.000000,89.999999995450708,67.999999996562806,1.4636480531244291,-1998.5363519468756,1.4636480531244291,-1.546651903515383,-1.546651903515383
30.000000,89.999999995450708,68.999999996512258,1.5358389105644519,-1998.4641610894355,1.5358389105644519,-1.4744610460753602,-1.4744610460753602
30.000000,89.999999995450708,69.99999999646171,1.6039820691499573,-1998.3960179308501,1.6039820691499573,-1.4063178874898548,-1.4063178874898548
30.000000,89.999999995450708,70.999999996411148,1.6680941561077849,-1998.3319058438922,1.6680941561077849,-1.3422058005320272,-1.3422058005320272
30.000000,89.999999995450708,71.9999999963606,1.7281904052891817,-1998.2718095947109,1.7281904052891817,-1.2821095513506304,-1.2821095513506304
30.000000,89.999999995450708,72.999999996310052,1.784284784911832,-1998.2157152150883,1.784284784911832,-1.2260151717279801,-1.2260151717279801
30.000000,89.999999995450708,73.999999996259504,1.8363901153325175,-1998.1636098846675,1.8363901153325175,-1.1739098413072946,-1.1739098413072946
30.000000,89.999999995450708,74.999999996208956,1.8845181774798145,-1998.1154818225202,1.8845181774798145,-1.1257817791599976,-1.1257817791599976
30.000000,89.999999995450708,75.999999996158394,1.928679812512798,-1998.0713201874871,1.928679812512798,-1.0816201441270141,-1.0816201441270141
30.000000,89.999999995450708,76.999999996107846,1.9688850132147218,-1998.0311149867853,1.9688850132147218,-1.0414149434250903,-1.0414149434250903
30.000000,89.999999995450708,77.999999996057298,2.0051430075787069,-1997.9948569924213,2.0051430075787069,-1.0051569490611052,-1.0051569490611052
30.000000,89.999999995450708,78.99999999600675,2.0374623349954408,-1997.9625376650044,2.0374623349954408,-0.97283762164437126,-0.97283762164437126
30.000000,89.999999995450708,79.999999995956202,2.0658509154098921,-1997.9341490845902,2.0658509154098921,-0.94444904122992002,-0.94444904122992002
30.000000,89.999999995450708,80.99999999590564,2.0903161117744702,-1997.9096838882256,2.0903161117744702,-0.9199838448653419,-0.9199838448653419
30.000000,89.999999995450708,81.999999995855092,2.1108647860901,-1997.8891352139099,2.1108647860901,-0.89943517054971212,-0.89943517054971212
30.000000,89.999999995450708,82.999999995804544,2.1275033492929181,-1997.872496650707,2.1275033492929181,-0.88279660734689402,-0.88279660734689402
30.000000,89.999999995450708,83.999999995753996,2.1402378052133133,-1997.8597621947868,2.1402378052133133,-0.87006215142649879,-0.87006215142649879
30.000000,89.999999995450708,84.999999995703433,2.1490737888050218,-1997.850926211195,2.1490737888050218,-0.86122616783479033,-0.86122616783479033
30.000000,89.999999995450708,85.999999995652885,2.154016598814648,-1997.8459834011853,2.154016598814648,-0.85628335782516407,-0.85628335782516407
30.000000,89.999999995450708,86.999999995602337,2.1550712250363242,-1997.8449287749636,2.1550712250363242,-0.85522873160348789,-0.85522873160348789
30.000000,89.999999995450708,87.999999995551789,2.1522423702717224,-1997.8477576297282,2.1522423702717224,-0.85805758636808971,-0.85805758636808971
